Introducing contestants...
* Player 1, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
* Player 2, weighing 320 bytes, "Jumper !" ("en fait C forker !") !
cycle 105, carriage 0, op_code 2, car pos 96

cycle 106, carriage 1, op_code 3, car pos 2151
cycle 106, carriage 0, op_code 3, car pos 103

cycle 107, carriage 1, op_code 3, car pos 2151
cycle 107, carriage 0, op_code 3, car pos 103

cycle 108, carriage 1, op_code 3, car pos 2151
cycle 108, carriage 0, op_code 3, car pos 103

cycle 109, carriage 1, op_code 3, car pos 2151
cycle 109, carriage 0, op_code 3, car pos 103

cycle 110, carriage 1, op_code 3, car pos 2151
cycle 110, carriage 0, op_code 3, car pos 103

cycle 111, carriage 1, op_code 2, car pos 2156
cycle 111, carriage 0, op_code 2, car pos 108

cycle 112, carriage 1, op_code 2, car pos 2156
cycle 112, carriage 0, op_code 2, car pos 108

cycle 113, carriage 1, op_code 2, car pos 2156
cycle 113, carriage 0, op_code 2, car pos 108

cycle 114, carriage 1, op_code 2, car pos 2156
cycle 114, carriage 0, op_code 2, car pos 108

cycle 115, carriage 1, op_code 2, car pos 2156
cycle 115, carriage 0, op_code 2, car pos 108

cycle 116, carriage 1, op_code 11, car pos 2163
cycle 116, carriage 0, op_code 11, car pos 115

cycle 117, carriage 1, op_code 11, car pos 2163
cycle 117, carriage 0, op_code 11, car pos 115

cycle 118, carriage 1, op_code 11, car pos 2163
cycle 118, carriage 0, op_code 11, car pos 115

cycle 119, carriage 1, op_code 11, car pos 2163
cycle 119, carriage 0, op_code 11, car pos 115

cycle 120, carriage 1, op_code 11, car pos 2163
cycle 120, carriage 0, op_code 11, car pos 115

cycle 121, carriage 1, op_code 11, car pos 2163
cycle 121, carriage 0, op_code 11, car pos 115

cycle 122, carriage 1, op_code 11, car pos 2163
cycle 122, carriage 0, op_code 11, car pos 115

cycle 123, carriage 1, op_code 11, car pos 2163
cycle 123, carriage 0, op_code 11, car pos 115

cycle 124, carriage 1, op_code 11, car pos 2163
cycle 124, carriage 0, op_code 11, car pos 115

cycle 125, carriage 1, op_code 11, car pos 2163
cycle 125, carriage 0, op_code 11, car pos 115

cycle 126, carriage 1, op_code 11, car pos 2163
cycle 126, carriage 0, op_code 11, car pos 115

cycle 127, carriage 1, op_code 11, car pos 2163
cycle 127, carriage 0, op_code 11, car pos 115

cycle 128, carriage 1, op_code 11, car pos 2163
cycle 128, carriage 0, op_code 11, car pos 115

cycle 129, carriage 1, op_code 11, car pos 2163
cycle 129, carriage 0, op_code 11, car pos 115

cycle 130, carriage 1, op_code 11, car pos 2163
cycle 130, carriage 0, op_code 11, car pos 115

cycle 131, carriage 1, op_code 11, car pos 2163
cycle 131, carriage 0, op_code 11, car pos 115

cycle 132, carriage 1, op_code 11, car pos 2163
cycle 132, carriage 0, op_code 11, car pos 115

cycle 133, carriage 1, op_code 11, car pos 2163
cycle 133, carriage 0, op_code 11, car pos 115

cycle 134, carriage 1, op_code 11, car pos 2163
cycle 134, carriage 0, op_code 11, car pos 115

cycle 135, carriage 1, op_code 11, car pos 2163
cycle 135, carriage 0, op_code 11, car pos 115

cycle 136, carriage 1, op_code 11, car pos 2163
cycle 136, carriage 0, op_code 11, car pos 115

cycle 137, carriage 1, op_code 11, car pos 2163
cycle 137, carriage 0, op_code 11, car pos 115

cycle 138, carriage 1, op_code 11, car pos 2163
cycle 138, carriage 0, op_code 11, car pos 115

cycle 139, carriage 1, op_code 11, car pos 2163
cycle 139, carriage 0, op_code 11, car pos 115

cycle 140, carriage 1, op_code 11, car pos 2163
cycle 140, carriage 0, op_code 11, car pos 115

cycle 141, carriage 1, op_code 11, car pos 2170
cycle 141, carriage 0, op_code 11, car pos 122

cycle 142, carriage 1, op_code 11, car pos 2170
cycle 142, carriage 0, op_code 11, car pos 122

cycle 143, carriage 1, op_code 11, car pos 2170
cycle 143, carriage 0, op_code 11, car pos 122

cycle 144, carriage 1, op_code 11, car pos 2170
cycle 144, carriage 0, op_code 11, car pos 122

cycle 145, carriage 1, op_code 11, car pos 2170
cycle 145, carriage 0, op_code 11, car pos 122

cycle 146, carriage 1, op_code 11, car pos 2170
cycle 146, carriage 0, op_code 11, car pos 122

cycle 147, carriage 1, op_code 11, car pos 2170
cycle 147, carriage 0, op_code 11, car pos 122

cycle 148, carriage 1, op_code 11, car pos 2170
cycle 148, carriage 0, op_code 11, car pos 122

cycle 149, carriage 1, op_code 11, car pos 2170
cycle 149, carriage 0, op_code 11, car pos 122

cycle 150, carriage 1, op_code 11, car pos 2170
cycle 150, carriage 0, op_code 11, car pos 122

cycle 151, carriage 1, op_code 11, car pos 2170
cycle 151, carriage 0, op_code 11, car pos 122

cycle 152, carriage 1, op_code 11, car pos 2170
cycle 152, carriage 0, op_code 11, car pos 122

cycle 153, carriage 1, op_code 11, car pos 2170
cycle 153, carriage 0, op_code 11, car pos 122

cycle 154, carriage 1, op_code 11, car pos 2170
cycle 154, carriage 0, op_code 11, car pos 122

cycle 155, carriage 1, op_code 11, car pos 2170
cycle 155, carriage 0, op_code 11, car pos 122

cycle 156, carriage 1, op_code 11, car pos 2170
cycle 156, carriage 0, op_code 11, car pos 122

cycle 157, carriage 1, op_code 11, car pos 2170
cycle 157, carriage 0, op_code 11, car pos 122

cycle 158, carriage 1, op_code 11, car pos 2170
cycle 158, carriage 0, op_code 11, car pos 122

cycle 159, carriage 1, op_code 11, car pos 2170
cycle 159, carriage 0, op_code 11, car pos 122

cycle 160, carriage 1, op_code 11, car pos 2170
cycle 160, carriage 0, op_code 11, car pos 122

cycle 161, carriage 1, op_code 11, car pos 2170
cycle 161, carriage 0, op_code 11, car pos 122

cycle 162, carriage 1, op_code 11, car pos 2170
cycle 162, carriage 0, op_code 11, car pos 122

cycle 163, carriage 1, op_code 11, car pos 2170
cycle 163, carriage 0, op_code 11, car pos 122

cycle 164, carriage 1, op_code 11, car pos 2170
cycle 164, carriage 0, op_code 11, car pos 122

cycle 165, carriage 1, op_code 11, car pos 2170
cycle 165, carriage 0, op_code 11, car pos 122

cycle 166, carriage 1, op_code 11, car pos 2177
cycle 166, carriage 0, op_code 11, car pos 129

cycle 167, carriage 1, op_code 11, car pos 2177
cycle 167, carriage 0, op_code 11, car pos 129

